major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0     113300 loop0
   7        8        888 loop1
   7       16       5212 loop2
   7       24      79224 loop3
   7       32      24668 loop4
   7       40       1748 loop5
   7       48     113300 loop6
   7       56       5436 loop7
   7       64      18348 loop8
   7       72       7832 loop9
   7       80        888 loop10
   7       88       4564 loop11
   7       96       5212 loop12
   7      104       6688 loop13
   7      112      79224 loop14
   7      120      24668 loop15
 254        0    3145728 zram0
   8       16       8192 sdb
   8       17       3584 sdb1
   8       18        128 sdb2
   8        0  123412480 sda
   8        1      32768 sda1
   8        2      14336 sda2
   8        3       8192 sda3
   8        4       6144 sda4
   8        5          8 sda5
   8        6      32768 sda6
   8        7       1024 sda7
   8        8      32768 sda8
   8        9      45056 sda9
   8       10        512 sda10
   8       11        512 sda11
   8       12      10240 sda12
   8       13       8192 sda13
   8       14       2048 sda14
   8       15      16384 sda15
 259        0      16384 sda16
 259        1       8192 sda17
 259        2      49152 sda18
 259        3      65536 sda19
 259        4     102400 sda20
 259        5     102400 sda21
 259        6         64 sda22
 259        7         64 sda23
 259        8      16384 sda24
 259        9   20971520 sda25
 259       10    1572864 sda26
 259       11    1572864 sda27
 259       12   98723656 sda28
 259       13          4 sda29
   8       32       8192 sdc
   8       33       3584 sdc1
   8       34        128 sdc2
   8       64    1536000 sde
   8       65        512 sde1
   8       66       4096 sde2
   8       67       8192 sde3
   8       68     353280 sde4
   8       69       4096 sde5
   8       70      32768 sde6
   8       71       1024 sde7
   8       72      65536 sde8
   8       73        512 sde9
   8       74        512 sde10
   8       75      98304 sde11
   8       76        512 sde12
   8       77        512 sde13
   8       78        128 sde14
   8       79         80 sde15
 259       14      98304 sde16
 259       15         64 sde17
 259       16      24576 sde18
 259       17       2048 sde19
 259       18         32 sde20
 259       19         32 sde21
 259       20        128 sde22
 259       21       2048 sde23
 259       22       8192 sde24
 259       23        512 sde25
 259       24        512 sde26
 259       25       4096 sde27
 259       26       8192 sde28
 259       27     353280 sde29
 259       28       4096 sde30
 259       29      32768 sde31
 259       30       1024 sde32
 259       31      65536 sde33
 259       32        512 sde34
 259       33        512 sde35
 259       34      98304 sde36
 259       35        512 sde37
 259       36        512 sde38
 259       37        128 sde39
 259       38         80 sde40
 259       39      98304 sde41
 259       40         64 sde42
 259       41      24576 sde43
 259       42       2048 sde44
 259       43         32 sde45
 259       44         32 sde46
 259       45        128 sde47
 259       46       2048 sde48
 259       47       8192 sde49
 259       48        512 sde50
 259       49          4 sde51
 259       50       1024 sde52
 259       51        256 sde53
 259       52        256 sde54
 259       53      32768 sde55
 259       54          4 sde56
 259       55          4 sde57
 259       56       8192 sde58
 259       57      65536 sde59
 259       58        128 sde60
 259       59        512 sde61
 259       60         28 sde62
   8       48       8192 sdd
   8       49        104 sdd1
   8       50        128 sdd2
   8       51       2048 sdd3
   8       52       1024 sdd4
   8       80      16384 sdf
   8       81        104 sdf1
   8       82       2048 sdf2
   8       83       2048 sdf3
   8       84       2048 sdf4
   8       85        128 sdf5
   8       86       2048 sdf6
   8       87       2048 sdf7
   8       88       2048 sdf8
   8       89          4 sdf9
   8       96       4096 sdg
   8       97        512 sdg1
 252        0    2583624 dm-0
 252        1     431020 dm-1
 252        2    1523920 dm-2
 252        3    3997880 dm-3
   7      128        964 loop16
   7      136       4820 loop17
   7      144       8172 loop18
   7      152       3948 loop19
   7      160       5952 loop20
   7      168        264 loop21
   7      176        604 loop22
   7      184       4052 loop23
   7      192       1748 loop24
   7      200       2440 loop25
   7      208        368 loop26
